Company name,Notes,Status,Last modified,Where to apply,Industry,Location,Founded Date,Founders,Funding Status,Last Funding Type,Number of Employees,Revenue Range,Hug Tags,Ipo Status,Company Type,Number of Acquisitions,Total Funding,Headquarters Location,Headquarters Regions
Moon Creative Lab,,Hiring,2020-03-28T15:34:13.000Z,https://boards.greenhouse.io/moon,,,,,,,,,,,,,,,
Moov Technologies Inc.,"Engineering, Sales/BD, Product
",Hiring,2020-04-02T19:35:22.000Z,,,,,,,,,,,,,,,,
Morgan Stanley ,"Reports of continued hiring and a hiring freeze. See below:
Hiring:","Hiring  freeze,Hiring",2020-04-10T16:50:54.000Z,,,,,,,,,,,,,,,,
Morneau Shepell Ltd,"
",Hiring,2020-04-02T19:35:58.000Z,,,,,,,,,,,,,,,,
MorningStar,"""we are momentarily pausing the interview process for this role, and we will be unable to make a decision in the next couple of weeks.""
",Hiring  freeze,2020-03-28T19:45:32.000Z,https://www.morningstar.com/careers?cid=AEM_RED0018,,,,,,,,,,,,,,,
Morningstar ,"Multiple reports
",Hiring  freeze,2020-04-09T14:22:15.000Z,,,,,,,,,,,,,,,,
Morrison,"
",Hiring,2020-04-02T19:36:15.000Z,,,,,,,,,,,,,,,,
Mosaic,"Sr. Front End Engineers, QA / Test, Dev Ops
",Hiring,2020-04-05T21:18:03.000Z,,,,,,,,,,,,,,,,
Mostly AI,"
",Hiring,2020-04-03T23:23:14.000Z,,,,,,,,,,,,,,,,
Mothership,"We're hiring across Engineering and Sales
",Hiring,2020-04-01T23:20:30.000Z,,,,,,,,,,,,,,,,
motor vehicle software,"
",Hiring,2020-04-03T03:52:03.000Z,,,,,,,,,,,,,,,,
Motorola Solutions,"Design and product are hiring
",Hiring,2020-03-29T04:24:44.000Z,,,,,,,,,,,,,,,,
mott macdonlad,"
",Hiring,2020-04-02T19:37:26.000Z,,,,,,,,,,,,,,,,
Mount Sinai,"
",Hiring,2020-04-02T19:37:36.000Z,,,,,,,,,,,,,,,,
mountain america,"
",Hiring,2020-04-05T21:18:34.000Z,,,,,,,,,,,,,,,,
Movableink,"
",Hiring,2020-04-06T23:39:53.000Z,,,,,,,,,,,,,,,,
Move Work Forward,"Hiring Engineering and Design
",Hiring,2020-03-29T01:45:20.000Z,,,,,,,,,,,,,,,,
Moveworks,"Statement from company: ""I'm writing to inform you that we are actually continuing to hire, albeit at a slower pace. Certain roles have definitely been removed from the headcount plan for the year, but we are continuing hiring in engineering and product teams as our business is proving to be quite strong in this current climate. In fact, our careers page will even reflect the numerous roles we have open.

We did pause our internship program, so I'm guessing that's what has been implied by a rescinding offer. But please note, this has not been true for any FTEs.""

User reports:
One report that an offer was put on hold. ",Hiring,2020-04-06T16:42:39.000Z,,,,,,,,,,,,,,,,
Mozilla,"
",Hiring  freeze,2020-04-02T19:37:54.000Z,,,,,,,,,,,,,,,,
mParticle,"
",Hiring,2020-04-02T18:23:15.000Z,,,,,,,,,,,,,,,,
Mphasis,"
",Hiring,2020-03-30T14:47:04.000Z,,,,,,,,,,,,,,,,
MPLC,"
",Hiring  freeze,2020-04-07T14:13:23.000Z,,,,,,,,,,,,,,,,
MPOWER Financing,"Actively hiring in Bangalore, India.
",Hiring,2020-03-30T06:37:43.000Z,https://www.mpowerfinancing.com/about-us/careers/,,,,,,,,,,,,,,,
MRE Consulting,"Only contract resources for key project roles.
",Hiring,2020-04-02T19:38:08.000Z,,,,,,,,,,,,,,,,
MRP,"
",Hiring,2020-04-08T21:26:35.000Z,,,,,,,,,,,,,,,,
MSc software,"
",Hiring  freeze,2020-04-02T19:38:30.000Z,,,,,,,,,,,,,,,,
Mta ,"
",Hiring  freeze,2020-04-09T14:24:37.000Z,,,,,,,,,,,,,,,,
Mtab,"
",Hiring,2020-04-02T19:39:01.000Z,,,,,,,,,,,,,,,,
mtx,"2 reports of hiring freeze
",Hiring  freeze,2020-04-05T21:19:45.000Z,,,,,,,,,,,,,,,,
Mubea,"US Facilities currently shut down but if essential services clients ramp up production will resume in April. Hiring engineering, skilled trades.
","Hiring  freeze,Hiring",2020-03-29T10:01:27.000Z,https://www.mubea.com/en/career,,,,,,,,,,,,,,,
mueller,"
",Hiring,2020-04-07T14:13:56.000Z,,,,,,,,,,,,,,,,
Mufg,"
",Hiring,2020-04-06T16:56:19.000Z,,,,,,,,,,,,,,,,
Mulberry Technology ,"All roles posted here: https://getmulberry.com/hiring
",Hiring,2020-04-05T21:20:58.000Z,,,,,,,,,,,,,,,,
MullenLowe,"
",Hiring,2020-04-09T18:00:24.000Z,,,,,,,,,,,,,,,,
Multi-Color Corporation,"Hiring across multiple plants - Cities for multiple production roles.
",Hiring,2020-04-02T19:40:34.000Z,,,,,,,,,,,,,,,,
MURAL,"Enterprise Account Executive
",Hiring,2020-04-03T18:41:00.000Z,https://mural.co/jobs,,,,,,,,,,,,,,,
Murex,"
",Hiring,2020-03-31T18:05:44.000Z,https://www.murex.com/careers/home,,,,,,,,,,,,,,,
Murphy USA,"
",Hiring  freeze,2020-04-10T20:18:38.000Z,,,,,,,,,,,,,,,,
music,"
",Hiring,2020-04-07T22:12:16.000Z,,,,,,,,,,,,,,,,
Mutual of Omaha,,Hiring  freeze,2020-03-30T06:43:59.000Z,,,,,,,,,,,,,,,,
Mux,"
",Hiring,2020-04-07T14:14:32.000Z,,,,,,,,,,,,,,,,
mx,"Hiring freeze for at least the next 30 days
","Hiring,Hiring  freeze",2020-04-09T14:31:26.000Z,,,,,,,,,,,,,,,,
MyAurum,"
",Hiring  freeze,2020-04-02T19:41:29.000Z,,,,,,,,,,,,,,,,
Mycoworks,"
",Hiring  freeze,2020-04-07T14:14:50.000Z,,,,,,,,,,,,,,,,
Myntra,"
",Hiring,2020-03-30T15:05:51.000Z,,,,,,,,,,,,,,,,
Mystery.org,"Very actively hiring for all roles: Engineering, Design, Operations, Customer Success/Experience
",Hiring,2020-04-02T18:40:12.000Z,,,,,,,,,,,,,,,,
Mythical Games,"
",Hiring,2020-04-02T19:41:38.000Z,,,,,,,,,,,,,,,,
n,"intern
",Hiring,2020-04-07T18:53:44.000Z,,,,,,,,,,,,,,,,
N2Growth,"
",Hiring  freeze,2020-04-02T19:41:53.000Z,,,,,,,,,,,,,,,,
N3,"https://careers.n3results.com/
",Hiring,2020-04-02T04:54:16.000Z,,,,,,,,,,,,,,,,
N26,"Most roles frozen, select few remain open. Roles will reopen in the near future.
","Hiring  freeze,Hiring",2020-04-01T16:58:52.000Z,,,,,,,,,,,,,,,,
Nagarro,"Certain roles
",Hiring,2020-04-02T19:43:31.000Z,,,,,,,,,,,,,,,,
Nakama Europe,"UX/UI Designers, Agile Coach
",Hiring,2020-04-07T14:17:03.000Z,,,,,,,,,,,,,,,,
Nakisa Inc.,"Software Developers
",Hiring,2020-04-01T00:11:05.000Z,,,,,,,,,,,,,,,,
Namely,"1 report of hiring
1 report of hiring freeze
","Hiring  freeze,Hiring",2020-04-06T18:14:36.000Z,https://www.namely.com/careers/,,,,,,,,,,,,,,,
Nanonation,"
",Hiring,2020-04-02T19:44:04.000Z,,,,,,,,,,,,,,,,
Nanoramic,"
",Hiring  freeze,2020-04-05T21:22:03.000Z,,,,,,,,,,,,,,,,
Narmi,"Engineers, Marketing, Product
",Hiring,2020-04-02T18:14:23.000Z,,,,,,,,,,,,,,,,
Narvar,"Made it to the first round and then told hiring has been on hold
",Hiring  freeze,2020-04-08T22:08:55.000Z,,,,,,,,,,,,,,,,
NASA Jet Propulsion Laboratory ,"Multiple reports
",Hiring,2020-04-09T14:32:05.000Z,,,,,,,,,,,,,,,,
NASCAR,"
",Hiring  freeze,2020-04-07T14:17:12.000Z,,,,,,,,,,,,,,,,
Nasdaq,"Across the board
",Hiring,2020-04-02T17:21:22.000Z,,,,,,,,,,,,,,,,
Nasuni,"
",Hiring,2020-04-02T19:45:21.000Z,,,,,,,,,,,,,,,,
Nateevo,"
",Hiring  freeze,2020-04-01T18:22:03.000Z,,,,,,,,,,,,,,,,
Natera,"For open positions, visit Natera.com/careers/job-openings
",Hiring,2020-04-02T19:45:48.000Z,,,,,,,,,,,,,,,,
National Bank,"
",Hiring,2020-04-05T21:22:30.000Z,,,,,,,,,,,,,,,,
National basketball association ,"
",Hiring  freeze,2020-04-02T19:46:04.000Z,,,,,,,,,,,,,,,,
National Grid,"1 report of hiring and 1 report of hiring freeze. Additional report of hiring specifying for Critical roles only (4/8).
","Hiring  freeze,Hiring",2020-04-10T16:36:24.000Z,https://careers.nationalgridus.com/,,,,,,,,,,,,,,,
National health law program,"
",Hiring  freeze,2020-04-06T17:29:02.000Z,,,,,,,,,,,,,,,,
National Institutes of Health,,Hiring  freeze,2020-04-04T21:16:40.000Z,https://hr.nih.gov/jobs,,,,,,,,,,,,,,,
National Instruments,"2 reports of hiring. Offers being sent out 
",Hiring,2020-04-06T20:54:18.000Z,,,,,,,,,,,,,,,,
National Interstate,"
",Hiring  freeze,2020-04-10T20:16:52.000Z,,,,,,,,,,,,,,,,
National Robotics Engineering Center,,Hiring,2020-03-31T17:16:53.000Z,https://www.nrec.ri.cmu.edu/nrec/careers/index.html,,,,,,,,,,,,,,,
National Safety Council,,Hiring  freeze,2020-03-28T20:26:06.000Z,https://www.nsc.org/careers,,,,,,,,,,,,,,,
National Security Agency,"
",Hiring,2020-04-03T03:51:53.000Z,,,,,,,,,,,,,,,,
NationSwell,"Unconfirmed claims of 40% of company laid off. 1 report of hiring.
","Layoffs,Hiring",2020-04-10T18:02:00.000Z,,,,,,,,,,,,,,,,
Nationwide Insurance,"
",Hiring  freeze,2020-04-10T19:23:05.000Z,,,,,,,,,,,,,,,,
Natixis,"M&A Energy & Natural Resources
",Hiring,2020-04-05T21:23:23.000Z,,,,,,,,,,,,,,,,
Nato,"
",Hiring,2020-04-07T14:17:41.000Z,,,,,,,,,,,,,,,,
Nauto,"20% laid off, offers rescinded and hiring freeze",Layoffs,2020-04-02T19:47:39.000Z,,,,,,,,,,,,,,,,
Nav,"
",Hiring  freeze,2020-04-07T16:18:09.000Z,,,,,,,,,,,,,,,,
Nava PBC,"Engineering, product, program delivery, and bizops!
",Hiring,2020-04-01T16:47:17.000Z,,,,,,,,,,,,,,,,
Navex Global,"Hiring has not slowed down in any region as far as I know. Only hiring for Production Engineering roles as of 4/1
",Hiring,2020-04-02T18:24:48.000Z,,,,,,,,,,,,,,,,
Navis,,Hiring  freeze,2020-04-10T14:56:02.000Z,https://www.navis.com/en/about/careers/,,,,,,,,,,,,,,,
Navy,"
",Hiring  freeze,2020-04-09T14:32:20.000Z,,,,,,,,,,,,,,,,
Navy Federal Credit Union,"
",Hiring  freeze,2020-04-05T21:23:39.000Z,,,,,,,,,,,,,,,,
Nbb ,"
",Hiring,2020-04-02T19:48:24.000Z,,,,,,,,,,,,,,,,
NBC,"
",Hiring  freeze,2020-04-06T19:07:00.000Z,,,,,,,,,,,,,,,,
NBCUniversal,"Hiring on pause, decisions being postponed- conflicting reports of hiring and hiring freeze
",Hiring  freeze,2020-04-08T20:45:02.000Z,,,,,,,,,,,,,,,,
NC Interactive,"All roles open
",Hiring,2020-04-05T21:24:07.000Z,,,,,,,,,,,,,,,,
NC State University,"
",Hiring  freeze,2020-04-02T19:48:54.000Z,,,,,,,,,,,,,,,,
Ncarta,"
",Hiring,2020-04-04T16:16:15.000Z,,,,,,,,,,,,,,,,
NCC Group,Multiple reports of hiring freezes with offers rescinded for new grads and existing offers even if signed.,"Hiring  freeze,Offers rescinded",2020-04-02T06:43:59.000Z,https://www.nccgroup.trust/us/about-us/careers/,,,,,,,,,,,,,,,
NCino ,"
",Hiring,2020-04-02T19:49:34.000Z,,,,,,,,,,,,,,,,
NCR,"Reports of a hiring freeze. See below:
Hiring freeze:","Hiring  freeze,Hiring",2020-04-08T02:55:36.000Z,https://www.ncr.com/careers,,,,,,,,,,,,,,,
NCWaterHeaters.com,"Plumbing
",Hiring,2020-04-09T14:32:55.000Z,,,,,,,,,,,,,,,,
Neato Robotics,,"Hiring  freeze,Layoffs",2020-03-29T14:20:25.000Z,,,,,,,,,,,,,,,,
Nebo,"
",Hiring,2020-04-02T19:50:09.000Z,,,,,,,,,,,,,,,,
Nefab,"
",Hiring,2020-04-07T14:18:29.000Z,,,,,,,,,,,,,,,,
Negotiatus,"Offers rescinded
","Hiring  freeze,Offers rescinded",2020-03-28T18:08:57.000Z,https://angel.co/company/negotiatus/jobs,,,,,,,,,,,,,,,
Neighborhood Health Plan of RI,"Essential positions only
",Hiring,2020-04-05T21:25:08.000Z,,,,,,,,,,,,,,,,
Neiman Marcus,"Furloughs
","Hiring  freeze,Layoffs",2020-03-29T03:13:55.000Z,,,,,,,,,,,,,,,,
Nelnet,"
",Hiring,2020-04-02T19:50:44.000Z,,,,,,,,,,,,,,,,
Neo4j,"
",Hiring  freeze,2020-04-02T19:51:08.000Z,,,,,,,,,,,,,,,,
NEOGOV,"
",Hiring  freeze,2020-04-02T19:51:23.000Z,,,,,,,,,,,,,,,,
Neoscape,"
",Hiring  freeze,2020-04-02T19:51:48.000Z,,,,,,,,,,,,,,,,
NepFin,"Looks like across the board, heard engineering and marketing hit hard
",Layoffs,2020-04-09T14:33:04.000Z,,,,,,,,,,,,,,,,
Nerdwallet,"Hiring for all teams, confirmed by company
",Hiring,2020-03-28T16:03:06.000Z,https://www.nerdwallet.com/careers,,,,,,,,,,,,,,,
Nesco Resource,"
",Hiring,2020-04-02T19:52:28.000Z,,,,,,,,,,,,,,,,
Nespresso,"
",Hiring,2020-04-02T19:52:08.000Z,,,,,,,,,,,,,,,,
Ness Technologies,"(Israeli Campus)
",Hiring  freeze,2020-03-29T11:16:36.000Z,,,,,,,,,,,,,,,,
Nest Fragrances ,"
",Hiring  freeze,2020-04-07T16:58:37.000Z,,,,,,,,,,,,,,,,
Nestle,"Multiple reports of hiring. One report of a hiring freeze for most positions (4/9).
","Hiring,Hiring  freeze",2020-04-10T17:46:00.000Z,,,,,,,,,,,,,,,,
Nestle Purina,"
",Hiring,2020-04-07T14:18:49.000Z,,,,,,,,,,,,,,,,
Net App,"
",Hiring,2020-04-02T19:53:00.000Z,,,,,,,,,,,,,,,,
Net Solutions,"
",Hiring,2020-04-02T19:53:31.000Z,,,,,,,,,,,,,,,,
NetApp,"
",Hiring,2020-04-05T21:25:57.000Z,,,,,,,,,,,,,,,,
Netcentric,"
",Hiring  freeze,2020-04-02T19:54:14.000Z,,,,,,,,,,,,,,,,
Netcompany UK,"Hiring only Senior staff, all Junior staff on hiring freeze
",Hiring  freeze,2020-04-05T21:26:15.000Z,,,,,,,,,,,,,,,,
Netflix,"Currently hiring and actively interviewing for a variety of roles. Officially confirmed by Netflix.
",Hiring,2020-03-30T23:23:34.000Z,https://jobs.netflix.com/,,,,,,,,,,,,,,,
Netguru,"
","Hiring,Hiring  freeze",2020-04-01T16:54:57.000Z,https://www.netguru.com/career,,,,,,,,,,,,,,,
Netjets,"
",Hiring  freeze,2020-04-03T13:22:09.000Z,,,,,,,,,,,,,,,,
Netlify,,Hiring,2020-03-29T10:49:01.000Z,https://www.netlify.com/careers/,,,,,,,,,,,,,,,
Netskope Inc.,,"Hiring,Hiring  freeze",2020-03-31T15:22:35.000Z,,,,,,,,,,,,,,,,
Netsparker,"
",Hiring,2020-04-01T00:12:21.000Z,,,,,,,,,,,,,,,,
NetSpyGlass,"engineering, sales and product
",Hiring,2020-04-02T19:54:36.000Z,,,,,,,,,,,,,,,,
netsuite,"
",Hiring  freeze,2020-04-09T14:36:26.000Z,,,,,,,,,,,,,,,,
Network Guard,"Hiring in Hong Kong and Singapore for our B2C Cybersecurity tech: Engineers, Marketers, Product Managers. 
",Hiring,2020-04-02T19:54:55.000Z,,,,,,,,,,,,,,,,
neuanalytics,"
",Hiring,2020-04-02T19:55:10.000Z,,,,,,,,,,,,,,,,
Neuberger Berman,"
",Hiring  freeze,2020-04-05T21:27:05.000Z,,,,,,,,,,,,,,,,
NeuNeto SL,"Salesforce Developers 
",Hiring,2020-04-09T14:36:51.000Z,,,,,,,,,,,,,,,,
neur,"
",Hiring,2020-04-07T19:35:45.000Z,,,,,,,,,,,,,,,,
Neuralink,"
",Hiring,2020-04-03T13:22:49.000Z,,,,,,,,,,,,,,,,
NeuroFlow,"Hiring for marketing, sales, ops, customer success https://angel.co/company/neuroflow/jobs
",Hiring,2020-04-02T19:55:29.000Z,,,,,,,,,,,,,,,,
Neustar,"Hiring for various roles
",Hiring,2020-04-02T19:56:12.000Z,,,,,,,,,,,,,,,,
New Balance,"Corporate freeze (4/6)
",Hiring  freeze,2020-04-07T22:05:27.000Z,,,,,,,,,,,,,,,,
New Context,"https://newcontext.com/careers/#openpositions
",Hiring,2020-04-02T19:56:35.000Z,,,,,,,,,,,,,,,,
New Engen,"
",Hiring  freeze,2020-04-02T19:57:01.000Z,,,,,,,,,,,,,,,,
New Look,"Hiring Freeze, Corona Virus Retention Scheme (UK)",Hiring  freeze,2020-04-03T13:23:07.000Z,,,,,,,,,,,,,,,,
New Relic,"Verified Company employee confirmed with Candor they are actively hiring
",Hiring,2020-03-29T21:28:25.000Z,https://newrelic.com/about/careers,,,,,,,,,,,,,,,
new u life,"
",Hiring,2020-04-02T17:45:44.000Z,,,,,,,,,,,,,,,,
new york city health,"
",Hiring  freeze,2020-04-07T14:19:20.000Z,,,,,,,,,,,,,,,,
New York Film Academy,"The school is laying off numerous employees at all campuses in the states and abroad. Enrollment has been down for some time. 
",Layoffs,2020-03-29T22:07:21.000Z,,,,,,,,,,,,,,,,
New York Life Insurance,"Conflicting reports of hiring and hiring freeze
",Hiring,2020-04-07T14:19:41.000Z,https://www.newyorklife.com/careers,,,,,,,,,,,,,,,
New York Psychiatric Institute,"
",Hiring,2020-04-02T19:57:51.000Z,,,,,,,,,,,,,,,,
New York Times,"Actively hiring company-wide
",Hiring,2020-03-28T21:54:16.000Z,https://www.nytco.com/careers/,,,,,,,,,,,,,,,
New York University,"All hiring will be frozen, with few essential exceptions. 
3 reports of hiring freezes
",Hiring  freeze,2020-04-07T14:19:51.000Z,,,,,,,,,,,,,,,,
Newell Brands,"
",Hiring,2020-04-02T19:58:07.000Z,,,,,,,,,,,,,,,,
NewFound Recruiting,"IT Infrastructure
",Hiring,2020-04-02T19:58:14.000Z,,,,,,,,,,,,,,,,
Newfront Insurance,More than half the company laid off,Layoffs,2020-04-07T03:54:52.000Z,,,,,,,,,,,,,,,,
Newgen,"
",Hiring  freeze,2020-04-08T22:41:11.000Z,,,,,,,,,,,,,,,,
Newmark Knight Frank,"
",Hiring  freeze,2020-04-02T19:58:50.000Z,,,,,,,,,,,,,,,,
newrez,"
",Hiring,2020-04-07T14:20:14.000Z,,,,,,,,,,,,,,,,
News America Marketing,"
",Hiring  freeze,2020-04-05T21:28:56.000Z,,,,,,,,,,,,,,,,
NewsCred,"https://www.newscred.com/careers/
",Hiring,2020-04-07T14:20:37.000Z,,,,,,,,,,,,,,,,
Newsela,"Recruiter indicated that some if not many roles are being put on-hold unless mission critical. Processes are put on-hold for a few months. 

1 report of hiring (4/6)
","Hiring  freeze,Hiring",2020-04-07T22:11:46.000Z,,,,,,,,,,,,,,,,
nexamp,"
",Hiring,2020-04-05T21:29:27.000Z,,,,,,,,,,,,,,,,
Nexans,"
",Hiring,2020-04-02T17:59:47.000Z,,,,,,,,,,,,,,,,
NexHealth,"
",Hiring,2020-04-02T19:59:19.000Z,,,,,,,,,,,,,,,,
Nexient,,Hiring  freeze,2020-03-28T19:46:31.000Z,https://www.nexient.com/careers,,,,,,,,,,,,,,,
Nexleaf Analytics,"Hiring: Product Manager, Senior Software Engineer (Los Angeles or Denver) Apply here: https://apply.workable.com/nexleaf-analytics/?lng=en
",Hiring,2020-04-07T14:20:58.000Z,,,,,,,,,,,,,,,,
Nexstar,"
",Hiring  freeze,2020-04-02T19:59:39.000Z,,,,,,,,,,,,,,,,
Next Insurance ,,Hiring  freeze,2020-03-29T10:48:12.000Z,,,,,,,,,,,,,,,,
NEXT Trucking,,Hiring,2020-03-29T03:46:20.000Z,https://boards.greenhouse.io/nexttrucking,,,,,,,,,,,,,,,
Next Ventures Group Corp,"content marketers, developers
",Hiring,2020-04-02T16:47:26.000Z,,,,,,,,,,,,,,,,
nextbike,"
",Hiring,2020-04-02T20:00:02.000Z,,,,,,,,,,,,,,,,
Nextcloud,"
",Hiring,2020-04-05T21:29:59.000Z,,,,,,,,,,,,,,,,
Nextdoor,,Hiring,2020-03-30T01:46:13.000Z,https://about.nextdoor.com/careers/,,,,,,,,,,,,,,,
nexterra,"
",Hiring,2020-04-02T20:00:18.000Z,,,,,,,,,,,,,,,,
NextGenGalactic,"Only Sharks and VCs at this time
",Hiring,2020-04-02T20:00:41.000Z,,,,,,,,,,,,,,,,
Nexthink,"Hiring for Critical roles 
",Hiring  freeze,2020-04-02T20:00:55.000Z,,,,,,,,,,,,,,,,
Nextroll,"At least 8 reports of layoffs claiming multiple teams, 174 employees laid off starting March 30th, and percentages ranging from 30-50% of company laid off. 
","Hiring  freeze,Layoffs",2020-04-07T03:52:35.000Z,,,,,,,,,,,,,,,,
Nexudus,"
",Hiring,2020-04-02T20:01:23.000Z,,,,,,,,,,,,,,,,
NFP,"
",Hiring  freeze,2020-04-01T15:23:50.000Z,,,,,,,,,,,,,,,,
nfu mutual,"
",Hiring,2020-04-02T20:01:45.000Z,,,,,,,,,,,,,,,,
NFX,"Reports of hiring with links to job postings below:
Hiring:",Hiring,2020-04-08T21:57:16.000Z,,,,,,,,,,,,,,,,
NGP VAN,"Across the board. Another reports the freeze is for all roles.
",Hiring  freeze,2020-04-01T15:43:20.000Z,,,,,,,,,,,,,,,,
Niagara Bottling,"Employee states companies is benefiting due to people stocking bottle water and drinks. My interview for engineering job is ongoing.
",Hiring,2020-04-02T20:01:54.000Z,,,,,,,,,,,,,,,,
Niantic,"Honoring existing offers, hiring freeze only on some roles. Hiring is continuing for essential roles
","Hiring  freeze,Hiring",2020-03-29T02:11:14.000Z,,,,,,,,,,,,,,,,
NIC,"
",Hiring,2020-04-03T03:52:20.000Z,,,,,,,,,,,,,,,,
Nice,"
",Hiring,2020-04-06T22:48:44.000Z,,,,,,,,,,,,,,,,
NICE inContact,,Hiring  freeze,2020-03-29T00:00:43.000Z,,,,,,,,,,,,,,,,
Niche,"
",Hiring,2020-04-09T14:38:17.000Z,,,,,,,,,,,,,,,,
Nicklaus Childrens Hospital,"
",Hiring  freeze,2020-04-09T14:38:31.000Z,,,,,,,,,,,,,,,,
Nielsen Inc,"Multiple reports of continued hiring and a hiring freeze. See below:
Hiring freeze:","Hiring  freeze,Hiring",2020-04-07T18:50:10.000Z,,,,,,,,,,,,,,,,
Nielsen+Partner,"Singapore branch is hiring
",Hiring,2020-04-06T19:37:31.000Z,,,,,,,,,,,,,,,,
Nightfall AI,"
",Hiring,2020-04-09T14:38:51.000Z,,,,,,,,,,,,,,,,
Nightwatch.io,"Hiring head of marketing, devops engineer, backend developer, front-end developer
",Hiring,2020-03-30T15:05:49.000Z,,,,,,,,,,,,,,,,
Nike,"Frozen hiring. ETW (External Temporary Worker) hiring frozen. FTE (Full Time Employee) hiring frozen. 
","Hiring  freeze,Hiring",2020-04-02T17:58:09.000Z,https://jobs.nike.com/,,,,,,,,,,,,,,,
Nikola Motor Company,"Software Engineers, Electrical Engineers, Administration, etc. All roles are open.
",Hiring,2020-04-08T22:00:39.000Z,,,,,,,,,,,,,,,,
Nine Line Apparel,"
",Layoffs,2020-03-31T16:01:47.000Z,,,,,,,,,,,,,,,,
Ninjacart,"Hiring software developers
",Hiring,2020-04-01T19:18:44.000Z,,,,,,,,,,,,,,,,
Nintendo,"
",Hiring,2020-04-02T17:42:32.000Z,,,,,,,,,,,,,,,,
NISC,"
",Hiring  freeze,2020-04-05T21:31:13.000Z,,,,,,,,,,,,,,,,
Nissan North America,"Internship program cancelled
",Hiring  freeze,2020-04-02T20:03:16.000Z,,,,,,,,,,,,,,,,
Nisum,"10% of employees with no clients- 3 reports of layoffs
",Layoffs,2020-04-02T20:03:44.000Z,,,,,,,,,,,,,,,,
NJ Transit,"
",Hiring,2020-04-07T14:21:36.000Z,,,,,,,,,,,,,,,,
NlB,"
",Hiring,2020-04-03T13:26:23.000Z,,,,,,,,,,,,,,,,
Noble Energy,"Furloughs and Paycuts...Rescinded Internships
",Hiring  freeze,2020-04-09T14:39:13.000Z,,,,,,,,,,,,,,,,
Noblis,"https://careers.noblis.org/
",Hiring,2020-04-02T20:04:19.000Z,,,,,,,,,,,,,,,,
NoBroker,"
",Hiring  freeze,2020-04-02T20:04:38.000Z,,,,,,,,,,,,,,,,
Nobu,"Fired everyone, didn’t pay vacation and isn’t responding to emails regarding pto",Layoffs,2020-04-07T03:52:21.000Z,,,,,,,,,,,,,,,,
nobu,"
",Hiring  freeze,2020-04-02T20:04:52.000Z,,,,,,,,,,,,,,,,
Nokia,"Reports of hiring, a hiring freeze, and claims of layoffs. See below:
Hiring freeze:",Hiring,2020-04-06T21:06:34.000Z,https://www.nokia.com/about-us/careers/,,,,,,,,,,,,,,,
Nomis Solutions,"https://www.nomissolutions.com/about/careers
",Hiring,2020-04-02T20:05:40.000Z,,,,,,,,,,,,,,,,
Nomura,"Conflicting reports of hiring and hiring freeze
","Hiring  freeze,Hiring",2020-04-10T17:36:20.000Z,,,,,,,,,,,,,,,,
Noodle.ai,6 reports of layoffs,Layoffs,2020-04-09T14:40:14.000Z,,,,,,,,,,,,,,,,
Noom,"1 report of hiring across the board. 1 report of a hiring freeze with the submitter's offer deferred. 
",Hiring,2020-04-02T16:35:50.000Z,https://www.noom.com/careers/jobs,,,,,,,,,,,,,,,
NORC at the University of Chicago,"
",Hiring  freeze,2020-04-06T23:54:24.000Z,,,,,,,,,,,,,,,,
Nordcloud,"
",Hiring  freeze,2020-04-01T18:35:00.000Z,,,,,,,,,,,,,,,,
Nordea,"
","Hiring  freeze,Hiring",2020-04-09T23:55:35.000Z,,,,,,,,,,,,,,,,
Nordstrom,"Furlough instead of laid off. 2 reports of hiring freeze.
My Technology Intern (SDE intern) with Nordstrom has been withdrawn/rescinded. I got the official offer last October and even filed my CPT.","Hiring  freeze,Offers rescinded",2020-04-07T03:51:54.000Z,,,,,,,,,,,,,,,,
Nordstrom Tech,"30% on furlough, confirmed by multiple reports - several from Denver office. Software engineering - offers have been retracted.",Hiring  freeze,2020-04-02T06:46:18.000Z,https://careers.nordstrom.com/,,,,,,,,,,,,,,,
NoRedInk,"Actively hiring for new roles company-wide.
",Hiring,2020-04-01T16:26:16.000Z,,,,,,,,,,,,,,,,
Norfolk Southern,"IT
",Hiring  freeze,2020-04-02T20:06:35.000Z,,,,,,,,,,,,,,,,
North Highland Consulting,"We have carefully examined each hiring need and prioritized the roles that will have the most impact for our clients.  By browsing this careers site and applying to open opportunities, you can help make a difference!
",Hiring,2020-04-02T20:07:07.000Z,,,,,,,,,,,,,,,,
North Star Network,"
",Hiring,2020-04-02T17:07:32.000Z,,,,,,,,,,,,,,,,
North Star Resource Group,"Hiring advisors and team members with digital interviews. Almost all employees are working from home.
",Hiring,2020-04-02T20:07:28.000Z,,,,,,,,,,,,,,,,
Northeastern university ,"
",Hiring,2020-04-07T14:21:52.000Z,,,,,,,,,,,,,,,,
northern ,"
",Hiring,2020-04-07T19:06:55.000Z,,,,,,,,,,,,,,,,
Northern Trust,"Hiring freeze until further notice. Another report stated - Was informed all offers and start dates are still being honored (4/3).
2 reports of layoffs
","Hiring  freeze,Hiring",2020-04-09T14:40:42.000Z,https://northerntrustcareers.com/,,,,,,,,,,,,,,,
Northout,,Hiring  freeze,2020-03-29T13:51:17.000Z,,,,,,,,,,,,,,,,
