date,source_id,cost
3/18/14,PA0482,5856
7/17/14,PA0607,3727
4/26/14,PA0352,7627
2/6/14,PA0577,402
1/6/14,PA0672,5179
1/20/14,PA0958,344
9/8/14,PA0198,5367
9/9/14,PA0843,NA
6/1/14,PA0607,2515
12/28/14,PA0368,4251
10/4/14,PA0308,7825
2/22/14,PA0474,1335
1/25/14,PA0808,783
10/30/14,PA0543,5020
9/7/14,PA0354,2485
8/29/14,PA0527,9397
7/11/14,PA0619,2293
8/24/14,PA0526,9863
4/30/14,PA0678,5556
10/8/14,PA0527,7314
8/13/14,PA0830,8363
10/9/14,PA0368,5211
11/11/14,PA0318,1461
6/1/14,PA0354,5505
9/28/14,PA0126,1118
5/3/14,PA0900,569
11/30/14,PA0752,9714
10/27/14,PA0368,5515
12/30/14,PA0873,1840
8/27/14,PA0202,3641
3/22/14,PA0552,1089
7/25/14,PA0174,9744
10/29/14,PA0859,9627
8/29/14,PA0830,1756
11/15/14,PA0470,7529
6/19/14,PA0354,8208
9/5/14,PA0923,1468
3/2/14,PA0752,4330
11/7/14,PA0174,2279
10/28/14,PA0474,2993
5/24/14,PA0873,NA
10/29/14,PA0308,8711
9/12/14,PA0752,8877
11/6/14,PA0672,3064
5/2/14,PA0368,308
11/16/14,PA0169,7088
12/28/14,PA0900,2928
12/4/14,PA0169,4324
7/21/14,PA0732,6078
8/10/14,PA0678,9039
11/22/14,PA0973,5015
10/18/14,PA0470,6616
3/2/14,PA0202,8461
4/18/14,PA0394,3335
9/18/14,PA0752,4793
2/27/14,PA0607,4843
11/12/14,PA0258,3139
8/6/14,PA0168,6817
3/26/14,PA0843,506
11/6/14,PA0873,3124
9/10/14,PA0543,9793
11/1/14,PA0678,8381
6/27/14,PA0198,2369
7/28/14,PA0543,5878
12/23/14,PA0792,1180
8/16/14,PA0577,2899
7/7/14,PA0830,2200
9/2/14,PA0526,9581
3/24/14,PA0900,9988
10/7/14,PA0467,7903
3/19/14,PA0577,6130
7/29/14,PA0873,2958
1/15/14,PA0270,8368
6/20/14,PA0973,755
2/22/14,PA0619,6012
12/18/14,PA0607,5736
12/5/14,PA0752,3038
2/23/14,PA0843,1217
12/28/14,PA0732,6152
10/7/14,PA0843,537
10/23/14,PA0526,7413
9/18/14,PA0482,8580
8/30/14,PA0577,1625
4/14/14,PA0411,831
12/30/14,PA0168,2717
3/13/14,PA0607,1415
9/12/14,PA0696,5347
7/17/14,PA0318,6025
12/12/14,PA0057,3332
8/18/14,PA0470,8508
3/31/14,PA0526,9635
11/14/14,PA0958,9196
7/21/14,PA0318,709
7/25/14,PA0923,9982
6/18/14,PA0168,6011
7/17/14,PA0258,6231
4/24/14,PA0552,3968
1/6/14,PA0923,7267
1/5/14,PA0752,6190
3/6/14,PA0169,7312
12/24/14,PA0202,6636
1/19/14,PA0470,9992
10/30/14,PA0527,674
11/8/14,PA0873,6507
3/16/14,PA0338,6993
4/10/14,PA0258,181
9/3/14,PA0258,9790
8/5/14,PA0534,7506
12/2/14,PA0174,4835
2/25/14,PA0169,3930
1/28/14,PA0752,3684
11/29/14,PA0900,7323
8/16/14,PA0308,2027
9/16/14,PA0202,256
12/13/14,PA0126,7188
3/9/14,PA0732,1513
11/25/14,PA0270,230
10/16/14,PA0732,5736
9/29/14,PA0057,9108
7/16/14,PA0174,2529
3/27/14,PA0659,3282
5/2/14,PA0338,9864
6/6/14,PA0607,1421
11/19/14,PA0394,2039
7/10/14,PA0202,8825
6/11/14,PA0174,9111
1/27/14,PA0843,6824
4/18/14,PA0198,6640
10/31/14,PA0859,711
3/29/14,PA0577,9445
4/12/14,PA0411,NA
9/16/14,PA0873,2790
6/26/14,PA0352,878
2/22/14,PA0293,3094
8/1/14,PA0607,7711
9/19/14,PA0543,2697
10/23/14,PA0543,6700
12/21/14,PA0873,5493
10/2/14,PA0470,2823
1/29/14,PA0659,2609
7/23/14,PA0354,7712
3/22/14,PA0394,2610
8/5/14,PA0126,9027
12/25/14,PA0277,3647
5/1/14,PA0552,5289
6/10/14,PA0678,3404
7/29/14,PA0752,2945
3/28/14,PA0973,2681
7/21/14,PA0900,5739
7/10/14,PA0293,5000
1/8/14,PA0619,3516
6/13/14,PA0354,6460
8/6/14,PA0126,663
1/8/14,PA0168,6055
3/29/14,PA0126,2269
2/25/14,PA0619,1513
7/21/14,PA0751,5963
3/11/14,PA0792,9022
10/8/14,PA0526,2011
2/3/14,PA0873,697
3/9/14,PA0467,343
11/12/14,PA0659,2423
9/19/14,PA0174,4616
8/9/14,PA0482,9397
4/4/14,PA0552,7935
3/29/14,PA0338,1675
6/20/14,PA0258,5002
10/5/14,PA0952,4946
10/23/14,PA0270,7636
9/8/14,PA0474,609
1/20/14,PA0169,201
7/9/14,PA0678,2610
7/5/14,PA0168,318
3/30/14,PA0467,8890
11/6/14,PA0958,1679
3/13/14,PA0732,8145
6/9/14,PA0174,9443
6/18/14,PA0394,186
8/16/14,PA0474,910
9/26/14,PA0168,4559
12/1/14,PA0678,1980
8/21/14,PA0474,7907
8/15/14,PA0843,1923
2/1/14,PA0467,7667
3/23/14,PA0859,4930
2/6/14,PA0923,3672
7/9/14,PA0607,9706
12/2/14,PA0057,476
2/27/14,PA0859,7630
3/4/14,PA0174,9976
10/22/14,PA0270,7147
9/15/14,PA0792,3208
3/18/14,PA0859,3316
7/9/14,PA0792,8743
1/24/14,PA0352,1979
1/19/14,PA0552,4230
4/30/14,PA0751,8105
1/14/14,PA0169,7656
12/23/14,PA0394,8860
7/14/14,PA0543,8301
10/27/14,PA0745,3123
12/1/14,PA0482,579
1/14/14,PA0258,3787
10/2/14,PA0474,2675
4/17/14,PA0126,7493
8/23/14,PA0258,9421
12/12/14,PA0467,5715
10/27/14,PA0672,9152
8/19/14,PA0202,5449
2/18/14,PA0270,7388
9/21/14,PA0751,7590
3/24/14,PA0352,8146
6/19/14,PA0752,1741
11/4/14,PA0696,2636
11/20/14,PA0792,4554
3/2/14,PA0169,2351
12/30/14,PA0672,1194
1/10/14,PA0411,5273
1/19/14,PA0126,2936
6/15/14,PA0277,6817
6/10/14,PA0830,5395
6/2/14,PA0354,NA
1/25/14,PA0467,6790
7/11/14,PA0659,3453
6/1/14,PA0843,8016
2/19/14,PA0474,265
1/12/14,PA0732,6162
8/10/14,PA0672,6396
11/17/14,PA0318,4983
3/25/14,PA0830,7690
6/20/14,PA0672,1675
6/11/14,PA0318,7452
4/1/14,PA0258,2648
10/23/14,PA0843,5649
8/20/14,PA0619,5529
10/16/14,PA0619,1441
11/10/14,PA0792,217
1/4/14,PA0318,7786
8/3/14,PA0258,8585
7/17/14,PA0308,2450
8/6/14,PA0270,8509
2/13/14,PA0174,144
3/14/14,PA0394,7393
3/28/14,PA0830,4328
11/4/14,PA0527,5851
8/7/14,PA0659,4510
6/20/14,PA0732,1423
4/17/14,PA0198,4968
2/20/14,PA0732,8522
3/22/14,PA0527,8259
7/8/14,PA0873,8000
3/25/14,PA0168,8909
4/16/14,PA0198,2155
12/22/14,PA0352,9462
11/23/14,PA0958,1584
3/8/14,PA0126,6260
9/25/14,PA0659,6176
11/14/14,PA0659,1676
10/29/14,PA0057,3019
6/11/14,PA0534,7838
3/16/14,PA0169,4441
9/24/14,PA0277,7657
3/25/14,PA0308,9743
10/19/14,PA0308,3051
10/18/14,PA0474,6871
4/12/14,PA0745,5041
6/26/14,PA0467,2973
2/28/14,PA0859,NA
10/21/14,PA0792,3197
10/20/14,PA0470,5339
5/9/14,PA0808,4362
12/26/14,PA0293,7803
5/1/14,PA0467,4523
10/3/14,PA0057,6550
9/29/14,PA0792,5001
12/31/14,PA0952,6979
11/30/14,PA0607,7797
2/26/14,PA0470,6469
5/9/14,PA0792,5587
2/7/14,PA0168,6702
5/19/14,PA0474,5547
5/21/14,PA0527,8011
7/13/14,PA0526,7620
12/20/14,PA0751,4395
5/21/14,PA0169,6133
6/2/14,PA0973,7800
10/13/14,PA0859,8240
10/9/14,PA0696,6620
5/27/14,PA0174,9541
12/15/14,PA0923,2200
11/27/14,PA0354,6174
7/11/14,PA0352,1387
8/3/14,PA0678,6116
7/28/14,PA0168,8586
5/20/14,PA0696,9172
12/2/14,PA0126,2269
5/13/14,PA0952,7855
6/5/14,PA0900,2689
1/9/14,PA0659,9273
12/2/14,PA0607,3803
4/3/14,PA0394,706
5/15/14,PA0923,1490
2/23/14,PA0923,5608
4/15/14,PA0792,623
3/2/14,PA0338,9275
5/31/14,PA0411,7991
3/8/14,PA0168,7179
10/20/14,PA0577,5630
2/10/14,PA0752,4790
4/25/14,PA0552,4293
12/26/14,PA0607,9920
3/30/14,PA0368,4215
1/6/14,PA0752,8336
12/14/14,PA0952,4950
5/15/14,PA0527,6634
9/25/14,PA0830,6266
8/28/14,PA0308,8624
10/22/14,PA0830,7159
11/11/14,PA0174,308
9/17/14,PA0174,8784
3/16/14,PA0958,4727
3/29/14,PA0752,4230
5/28/14,PA0318,8258
6/9/14,PA0338,451
2/9/14,PA0202,3617
1/4/14,PA0659,3642
12/29/14,PA0411,3613
7/6/14,PA0577,2849
2/14/14,PA0752,3903
12/8/14,PA0318,5880
7/30/14,PA0958,1379
1/4/14,PA0467,7134
7/26/14,PA0474,9190
2/21/14,PA0958,2812
11/3/14,PA0873,3430
6/1/14,PA0318,9988
3/5/14,PA0368,8258
2/13/14,PA0308,150
1/24/14,PA0752,5558
4/8/14,PA0678,2987
2/16/14,PA0174,1629
5/25/14,PA0619,7452
12/25/14,PA0923,4746
3/10/14,PA0467,4656
1/31/14,PA0543,6357
7/13/14,PA0672,8595
8/15/14,PA0354,811
7/13/14,PA0258,9268
7/1/14,PA0534,6815
7/29/14,PA0830,2999
3/31/14,PA0338,5565
9/23/14,PA0696,4041
5/26/14,PA0792,503
11/29/14,PA0751,605
10/11/14,PA0293,1817
6/6/14,PA0168,2032
10/8/14,PA0470,3838
10/23/14,PA0745,7043
10/30/14,PA0354,7591
11/13/14,PA0270,8593
8/9/14,PA0368,1371
2/7/14,PA0952,5329
10/27/14,PA0534,1889
12/15/14,PA0900,2117
3/17/14,PA0678,1598
5/15/14,PA0843,7490
5/24/14,PA0411,1072
11/29/14,PA0678,8687
12/9/14,PA0678,4326
4/14/14,PA0534,716
7/2/14,PA0474,7197
4/28/14,PA0467,1851
10/4/14,PA0168,2386
6/19/14,PA0482,734
2/23/14,PA0900,6661
5/17/14,PA0474,588
12/20/14,PA0607,9943
4/28/14,PA0411,5619
4/6/14,PA0732,918
12/24/14,PA0368,4328
9/30/14,PA0577,1647
4/22/14,PA0470,1418
6/19/14,PA0808,8436
5/22/14,PA0751,1125
12/12/14,PA0270,4014
5/12/14,PA0411,2541
5/13/14,PA0318,7300
10/27/14,PA0126,1075
10/1/14,PA0202,3178
6/4/14,PA0354,7143
4/22/14,PA0859,7981
11/23/14,PA0808,4338
11/18/14,PA0526,6400
8/19/14,PA0751,NA
3/20/14,PA0543,953
1/1/14,PA0126,2219
1/11/14,PA0659,6147
4/12/14,PA0900,6947
1/6/14,PA0577,4360
2/18/14,PA0411,2644
1/24/14,PA0659,314
1/8/14,PA0672,6782
6/22/14,PA0467,9810
4/18/14,PA0526,9139
11/15/14,PA0467,121
6/9/14,PA0808,7515
10/16/14,PA0258,5590
3/16/14,PA0474,8154
8/18/14,PA0732,8313
7/10/14,PA0527,446
6/14/14,PA0952,6742
9/28/14,PA0577,2163
5/22/14,PA0258,58
10/21/14,PA0619,7428
3/29/14,PA0354,4361
1/13/14,PA0198,9940
5/3/14,PA0411,268
12/22/14,PA0470,8164
5/24/14,PA0543,4156
5/8/14,PA0270,8311
7/24/14,PA0411,1289
4/3/14,PA0368,1467
8/2/14,PA0534,5572
3/3/14,PA0843,1504
5/11/14,PA0952,7172
6/7/14,PA0277,74
2/11/14,PA0792,625
2/2/14,PA0526,9603
11/15/14,PA0552,2533
12/4/14,PA0678,5440
8/14/14,PA0678,2540
4/7/14,PA0732,6744
4/28/14,PA0792,2564
7/25/14,PA0752,1930
9/2/14,PA0792,3682
3/27/14,PA0470,4253
10/23/14,PA0732,6075
7/7/14,PA0527,9938
6/19/14,PA0308,3067
9/21/14,PA0678,640
9/16/14,PA0318,271
12/12/14,PA0411,1570
9/22/14,PA0952,3783
9/2/14,PA0126,4598
12/2/14,PA0543,9056
3/14/14,PA0527,7937
10/21/14,PA0338,8492
2/2/14,PA0126,8245
8/20/14,PA0659,4412
10/8/14,PA0202,4195
4/27/14,PA0923,4506
10/7/14,PA0752,6579
11/14/14,PA0057,7125
8/21/14,PA0696,4321
2/19/14,PA0792,3400
6/10/14,PA0169,3923
2/28/14,PA0368,9829
1/31/14,PA0923,188
12/12/14,PA0168,802
8/7/14,PA0751,3959
3/7/14,PA0923,848
6/7/14,PA0354,2144
8/18/14,PA0258,6842
2/23/14,PA0202,6992
1/28/14,PA0543,5031
4/9/14,PA0923,1034
9/26/14,PA0552,4105
8/21/14,PA0745,3695
5/15/14,PA0900,6343
3/29/14,PA0057,9483
5/1/14,PA0338,906
3/11/14,PA0198,228
5/8/14,PA0678,8472
10/26/14,PA0752,13
12/12/14,PA0202,5202
6/27/14,PA0958,4921
10/24/14,PA0527,8618
2/4/14,PA0552,6616
6/16/14,PA0338,7116
5/3/14,PA0678,8738
9/28/14,PA0952,735
8/16/14,PA0258,1787
10/10/14,PA0751,2572
1/15/14,PA0900,3292
8/20/14,PA0873,8795
6/29/14,PA0352,8512
6/22/14,PA0752,5563
7/22/14,PA0659,4209
11/3/14,PA0467,7040
10/6/14,PA0952,7597
1/19/14,PA0830,9200
12/27/14,PA0672,6638
9/11/14,PA0607,5592
5/16/14,PA0534,5733
2/14/14,PA0354,5225
10/22/14,PA0126,2404
2/14/14,PA0543,770
5/20/14,PA0745,3711
9/26/14,PA0474,565
5/28/14,PA0732,8542
2/16/14,PA0368,7323
9/10/14,PA0482,5128
2/12/14,PA0293,1974
4/23/14,PA0659,652
3/29/14,PA0174,3203
2/14/14,PA0474,7975
9/26/14,PA0338,4747
12/27/14,PA0752,8428
4/12/14,PA0552,3856
7/9/14,PA0277,9421
12/23/14,PA0308,3168
1/19/14,PA0527,9213
4/15/14,PA0368,2940
9/25/14,PA0619,8719
12/29/14,PA0474,8786
1/22/14,PA0526,9623
11/9/14,PA0482,650
10/16/14,PA0270,1948
10/19/14,PA0751,7597
10/22/14,PA0678,6052
9/9/14,PA0198,7829
11/13/14,PA0394,8736
3/15/14,PA0696,NA
10/8/14,PA0352,3777
7/3/14,PA0973,8005
11/28/14,PA0394,9870
6/21/14,PA0168,8435
9/25/14,PA0534,3746
7/9/14,PA0467,1973
1/10/14,PA0958,370
6/6/14,PA0198,1447
9/13/14,PA0792,117
10/8/14,PA0752,9857
1/3/14,PA0752,8577
6/20/14,PA0577,7342
12/30/14,PA0352,6084
3/17/14,PA0923,4880
3/16/14,PA0732,5505
6/7/14,PA0258,502
1/12/14,PA0973,8220
12/8/14,PA0900,8646
3/24/14,PA0527,8683
2/24/14,PA0169,4125
9/7/14,PA0308,4279
1/23/14,PA0792,2525
9/14/14,PA0168,6049
11/11/14,PA0859,9991
2/16/14,PA0619,2254
9/22/14,PA0659,160
5/26/14,PA0467,2800
2/3/14,PA0277,2279
6/7/14,PA0745,7066
5/14/14,PA0258,1052
1/11/14,PA0057,26
2/16/14,PA0672,8737
2/14/14,PA0843,3148
4/14/14,PA0659,751
1/1/14,PA0534,9382
11/14/14,PA0474,416
3/13/14,PA0174,1494
11/5/14,PA0526,5888
9/7/14,PA0394,2759
6/6/14,PA0126,2455
10/18/14,PA0619,8271
12/10/14,PA0659,6623
8/30/14,PA0973,858
8/30/14,PA0745,297
12/24/14,PA0792,7294
11/27/14,PA0169,2672
12/28/14,PA0470,3615
1/29/14,PA0338,3918
4/13/14,PA0607,1757
6/10/14,PA0973,8235
7/12/14,PA0752,6566
8/31/14,PA0900,4123
6/28/14,PA0474,2118
11/28/14,PA0577,7271
11/29/14,PA0169,7001
7/26/14,PA0467,5340
8/19/14,PA0732,7719
1/16/14,PA0577,1736
5/30/14,PA0678,9739
9/26/14,PA0526,7489
5/4/14,PA0352,2603
8/14/14,PA0732,3056
1/18/14,PA0543,4805
3/15/14,PA0467,2234
3/10/14,PA0732,5832
5/30/14,PA0607,3571
3/21/14,PA0958,8539
4/27/14,PA0859,1584
10/6/14,PA0843,8472
4/11/14,PA0174,2325
1/30/14,PA0277,5781
9/26/14,PA0293,8196
8/19/14,PA0808,1027
11/20/14,PA0338,5256
4/12/14,PA0678,2484
5/27/14,PA0394,8294
6/28/14,PA0859,9382
4/7/14,PA0745,5819
11/24/14,PA0552,4903
5/31/14,PA0368,541
4/17/14,PA0952,1285
7/22/14,PA0277,3587
9/19/14,PA0198,7259
5/31/14,PA0277,2860
11/14/14,PA0745,7494
7/6/14,PA0293,5667
12/19/14,PA0792,5300
10/24/14,PA0619,787
8/28/14,PA0900,9490
3/8/14,PA0174,4859
3/2/14,PA0534,2152
8/25/14,PA0270,8461
7/15/14,PA0527,3867
9/14/14,PA0923,8731
9/22/14,PA0474,1030
1/2/14,PA0169,8162
4/13/14,PA0394,3306
5/21/14,PA0973,5895
4/20/14,PA0352,4496
3/11/14,PA0923,4431
7/5/14,PA0277,1670
6/1/14,PA0808,2989
11/30/14,PA0745,672
6/24/14,PA0202,9939
7/19/14,PA0293,7516
9/4/14,PA0126,8767
3/22/14,PA0672,8134
10/29/14,PA0543,2939
12/30/14,PA0577,3377
10/23/14,PA0308,1175
8/23/14,PA0474,4447
1/14/14,PA0057,4037
5/21/14,PA0352,9356
1/24/14,PA0751,7821
9/15/14,PA0293,2101
1/30/14,PA0270,258
10/2/14,PA0482,7466
1/18/14,PA0672,5568
2/2/14,PA0577,5905
6/2/14,PA0467,4990
5/23/14,PA0659,8060
10/21/14,PA0830,3896
3/25/14,PA0474,8329
11/17/14,PA0258,7439
10/10/14,PA0678,9851
5/28/14,PA0526,8480
3/17/14,PA0659,2986
7/5/14,PA0467,9312
1/13/14,PA0277,5023
1/27/14,PA0958,660
10/15/14,PA0859,2129
7/23/14,PA0526,3977
4/22/14,PA0467,68
3/21/14,PA0552,9227
1/28/14,PA0958,9412
2/18/14,PA0958,8266
4/22/14,PA0198,3109
4/13/14,PA0308,4746
7/13/14,PA0198,3803
7/15/14,PA0958,8606
12/16/14,PA0308,5467
12/16/14,PA0678,5277
12/3/14,PA0527,2929
11/23/14,PA0482,5484
1/15/14,PA0467,151
12/28/14,PA0830,343
1/12/14,PA0745,5041
9/17/14,PA0470,9625
4/20/14,PA0258,7703
4/10/14,PA0467,3025
7/25/14,PA0526,9404
5/29/14,PA0293,3515
2/8/14,PA0958,2906
5/26/14,PA0534,9795
12/10/14,PA0952,3422
1/26/14,PA0873,8218
6/23/14,PA0577,4519
9/7/14,PA0732,7797
2/28/14,PA0394,2223
9/30/14,PA0354,5931
11/27/14,PA0678,3831
9/21/14,PA0952,9885
2/11/14,PA0958,5147
4/20/14,PA0057,4459
4/27/14,PA0169,7278
12/11/14,PA0527,2207
2/21/14,PA0952,395
7/15/14,PA0354,8898
9/14/14,PA0394,7999
4/7/14,PA0534,6761
9/26/14,PA0732,7883
7/16/14,PA0973,2616
3/2/14,PA0672,8439
2/7/14,PA0958,4943
3/8/14,PA0577,1472
8/10/14,PA0577,1950
7/31/14,PA0474,2272
4/27/14,PA0318,8719
6/1/14,PA0830,6724
12/14/14,PA0258,9035
12/15/14,PA0354,1856
3/30/14,PA0527,1160
11/1/14,PA0859,3123
5/12/14,PA0474,6471
3/9/14,PA0808,7697
8/30/14,PA0308,7678
7/21/14,PA0752,3984
9/20/14,PA0126,2424
4/23/14,PA0527,3749
3/1/14,PA0678,3833
4/19/14,PA0198,6393
1/21/14,PA0174,7948
9/28/14,PA0900,5794
1/13/14,PA0057,9671
8/20/14,PA0527,2810
12/29/14,PA0552,1789
6/24/14,PA0482,754
4/27/14,PA0543,321
11/13/14,PA0174,268
6/13/14,PA0338,6169
10/21/14,PA0474,2133
11/12/14,PA0958,5888
5/22/14,PA0958,9959
12/12/14,PA0526,5659
2/4/14,PA0352,195
7/26/14,PA0057,2044
11/1/14,PA0527,7299
6/29/14,PA0526,1057
7/20/14,PA0552,4423
7/11/14,PA0552,8393
7/28/14,PA0672,604
4/24/14,PA0057,3303
2/20/14,PA0198,9573
6/17/14,PA0534,5796
3/3/14,PA0958,6864
4/27/14,PA0352,7094
4/21/14,PA0843,8811
5/17/14,PA0696,9241
11/25/14,PA0552,4444
6/13/14,PA0411,3985
5/10/14,PA0198,8646
10/20/14,PA0318,9522
8/1/14,PA0293,4650
1/17/14,PA0352,2178
12/13/14,PA0751,1289
3/18/14,PA0752,5684
1/28/14,PA0923,8823
2/19/14,PA0482,5846
9/2/14,PA0057,1255
7/16/14,PA0696,1082
8/28/14,PA0394,4711
9/3/14,PA0752,1248
6/13/14,PA0607,3626
6/2/14,PA0607,7774
11/1/14,PA0732,6925
6/4/14,PA0732,3022
3/11/14,PA0338,183
7/4/14,PA0900,4962
6/26/14,PA0057,6069
6/12/14,PA0308,7066
12/22/14,PA0526,4793
2/19/14,PA0678,82
5/31/14,PA0270,9110
3/14/14,PA0552,3342
5/15/14,PA0198,3259
1/1/14,PA0619,6494
8/22/14,PA0577,9343
7/7/14,PA0308,1831
1/26/14,PA0126,NA
5/31/14,PA0752,3254
2/25/14,PA0792,5435
10/3/14,PA0873,1402
2/19/14,PA0174,3003
2/25/14,PA0859,NA
12/12/14,PA0952,8244
8/21/14,PA0270,1035
12/8/14,PA0526,760
3/3/14,PA0552,5825
6/3/14,PA0467,1181
7/12/14,PA0900,7672
9/21/14,PA0126,8404
8/27/14,PA0126,4923
3/4/14,PA0527,8927
12/2/14,PA0526,4302
6/4/14,PA0607,9869
2/20/14,PA0859,9794
12/25/14,PA0577,1362
11/18/14,PA0577,9714
2/22/14,PA0354,3251
11/19/14,PA0293,2452
11/23/14,PA0696,6759
7/31/14,PA0659,9148
8/11/14,PA0527,1542
12/22/14,PA0338,7085
12/7/14,PA0169,5703
3/7/14,PA0368,1310
11/8/14,PA0752,6539
11/21/14,PA0474,5599
5/17/14,PA0552,6843
5/20/14,PA0057,493
8/24/14,PA0169,9260
1/2/14,PA0474,3115
9/12/14,PA0732,8350
7/2/14,PA0659,927
11/1/14,PA0952,2245
3/20/14,PA0607,333
11/30/14,PA0354,8091
5/30/14,PA0368,5382
10/8/14,PA0368,8412
4/26/14,PA0859,5880
6/13/14,PA0659,6563
7/29/14,PA0202,1182
11/14/14,PA0394,9537
2/16/14,PA0270,5095
4/20/14,PA0293,6306
7/28/14,PA0923,6548
1/8/14,PA0394,7186
5/19/14,PA0318,9286
10/27/14,PA0751,7304
10/5/14,PA0923,8002
5/10/14,PA0467,9935
4/13/14,PA0057,8961
9/21/14,PA0808,9894
11/22/14,PA0873,8397
8/20/14,PA0126,208
7/3/14,PA0270,2282
5/26/14,PA0202,4260
3/4/14,PA0607,6699
11/30/14,PA0952,8994
12/17/14,PA0619,1347
1/22/14,PA0973,647
9/5/14,PA0467,8020
