date,source_id,revenue
8/12/14,PA0619,7634
4/19/14,PA0792,5245
12/23/14,PA0900,7578
7/9/14,PA0293,4993
10/19/14,PA0338,11315
5/2/14,PA0745,6802
3/6/14,PA0526,3306
3/8/14,PA0873,5922
1/29/14,PA0258,6271
11/28/14,PA0354,3657
7/21/14,PA0318,2553
2/17/14,PA0696,1618
12/2/14,PA0474,86
12/4/14,PA0923,1290
6/4/14,PA0672,5788
7/29/14,PA0168,10593
9/19/14,PA0474,1596
8/18/14,PA0923,605
3/3/14,PA0973,9125
10/17/14,PA0526,3483
3/15/14,PA0577,6921
11/11/14,PA0198,3213
10/25/14,PA0543,7815
11/11/14,PA0270,10150
4/18/14,PA0659,10557
6/24/14,PA0168,1231
9/5/14,PA0318,5105
6/24/14,PA0792,8812
7/20/14,PA0474,474
11/29/14,PA0411,11791
9/15/14,PA0973,11353
3/30/14,PA0352,8500
10/13/14,PA0527,8734
1/22/14,PA0552,472
5/12/14,PA0958,993
9/25/14,PA0923,6339
3/25/14,PA0174,1746
8/26/14,PA0308,2205
9/9/14,PA0318,6379
12/16/14,PA0659,11582
2/25/14,PA0482,6035
12/7/14,PA0672,3561
4/3/14,PA0732,6796
4/22/14,PA0168,4137
6/29/14,PA0057,11824
5/4/14,PA0923,6330
4/10/14,PA0368,10114
4/19/14,PA0352,829
12/30/14,PA0619,11008
9/30/14,PA0792,10970
12/15/14,PA0198,1085
1/5/14,PA0470,2800
9/25/14,PA0368,9797
9/12/14,PA0973,984
1/19/14,PA0745,933
1/5/14,PA0168,8946
3/31/14,PA0318,8747
5/3/14,PA0607,8030
4/25/14,PA0830,2499
7/10/14,PA0859,6594
7/22/14,PA0973,11618
12/7/14,PA0745,3119
7/26/14,PA0527,1894
1/2/14,PA0411,668
4/15/14,PA0126,4415
12/19/14,PA0745,NA
11/5/14,PA0526,11755
6/2/14,PA0859,2371
5/26/14,PA0952,1583
1/20/14,PA0696,1372
7/19/14,PA0354,5772
12/1/14,PA0126,11522
7/28/14,PA0696,4468
3/22/14,PA0808,11039
5/30/14,PA0270,11586
7/1/14,PA0126,2603
12/6/14,PA0534,2428
7/20/14,PA0308,5283
2/24/14,PA0732,9331
10/31/14,PA0527,10899
5/28/14,PA0659,2232
11/30/14,PA0368,8995
1/30/14,PA0751,7982
6/18/14,PA0678,1361
5/12/14,PA0168,1781
10/31/14,PA0696,1024
6/27/14,PA0659,7388
6/2/14,PA0952,11340
5/29/14,PA0678,3705
11/6/14,PA0952,6221
9/8/14,PA0338,3107
11/20/14,PA0202,2689
8/30/14,PA0352,2740
10/16/14,PA0470,11115
9/4/14,PA0338,10476
9/14/14,PA0751,9627
9/10/14,PA0198,2711
4/22/14,PA0470,7805
12/19/14,PA0527,NA
12/3/14,PA0467,10108
1/22/14,PA0318,4531
11/7/14,PA0923,1125
3/1/14,PA0354,10200
4/15/14,PA0607,496
7/12/14,PA0354,6422
11/12/14,PA0552,6610
11/11/14,PA0923,9252
6/1/14,PA0318,2071
5/30/14,PA0873,6873
9/15/14,PA0258,2252
9/9/14,PA0607,9043
9/15/14,PA0659,7251
5/7/14,PA0672,11256
11/5/14,PA0659,NA
2/13/14,PA0732,6499
11/12/14,PA0952,9265
5/3/14,PA0696,8461
12/25/14,PA0277,834
6/21/14,PA0467,8084
2/24/14,PA0659,11405
11/18/14,PA0751,11362
7/22/14,PA0830,2468
10/27/14,PA0308,721
4/11/14,PA0672,1572
2/18/14,PA0258,6674
8/28/14,PA0552,1556
4/2/14,PA0174,5172
1/12/14,PA0659,3869
4/29/14,PA0792,7986
7/7/14,PA0973,5818
4/8/14,PA0169,959
5/21/14,PA0338,3950
4/21/14,PA0732,8484
6/15/14,PA0411,8363
10/19/14,PA0354,6090
7/19/14,PA0792,5563
12/9/14,PA0900,5470
1/15/14,PA0900,10716
11/10/14,PA0577,6753
2/2/14,PA0354,4582
12/16/14,PA0732,5605
9/6/14,PA0952,6213
3/29/14,PA0923,1702
5/25/14,PA0543,2569
7/13/14,PA0169,1545
10/16/14,PA0958,2006
8/9/14,PA0174,3548
3/20/14,PA0830,2326
12/11/14,PA0543,11495
11/2/14,PA0843,1728
8/10/14,PA0958,2034
12/10/14,PA0202,1804
2/25/14,PA0873,1483
8/23/14,PA0174,7180
5/27/14,PA0202,1852
9/25/14,PA0659,6441
5/19/14,PA0057,11304
12/22/14,PA0830,11485
2/5/14,PA0900,3263
8/21/14,PA0830,11031
8/21/14,PA0293,7908
8/24/14,PA0526,5002
2/3/14,PA0482,1432
3/2/14,PA0607,4442
1/17/14,PA0792,10519
1/2/14,PA0293,3742
7/2/14,PA0394,10985
3/1/14,PA0973,8071
10/21/14,PA0277,1271
3/25/14,PA0696,4152
6/13/14,PA0057,11867
12/10/14,PA0830,759
12/4/14,PA0198,2201
11/14/14,PA0534,4393
4/18/14,PA0973,1863
4/13/14,PA0752,1655
7/18/14,PA0973,11557
5/26/14,PA0900,5943
8/13/14,PA0543,6563
10/9/14,PA0057,6334
9/10/14,PA0258,10384
2/23/14,PA0830,2763
12/22/14,PA0277,3751
8/23/14,PA0843,8534
2/1/14,PA0277,8628
6/21/14,PA0168,759
1/5/14,PA0338,8140
7/15/14,PA0338,10671
5/1/14,PA0338,3310
3/1/14,PA0169,1413
9/4/14,PA0659,9277
7/21/14,PA0659,10223
9/16/14,PA0678,815
9/20/14,PA0859,11616
6/24/14,PA0577,2192
8/14/14,PA0859,3813
11/12/14,PA0808,348
12/26/14,PA0482,9254
5/10/14,PA0732,10024
11/7/14,PA0368,11369
7/29/14,PA0467,2326
8/17/14,PA0527,7128
3/14/14,PA0792,11966
11/15/14,PA0607,3259
11/22/14,PA0258,518
5/7/14,PA0270,6481
5/19/14,PA0808,6854
9/23/14,PA0169,3343
6/5/14,PA0394,2405
10/22/14,PA0952,5446
7/22/14,PA0696,6093
11/17/14,PA0318,4547
11/19/14,PA0368,5760
8/30/14,PA0411,1680
6/27/14,PA0552,7054
7/12/14,PA0534,2033
6/4/14,PA0958,6763
12/2/14,PA0732,1680
7/20/14,PA0552,2399
10/17/14,PA0732,8226
3/23/14,PA0057,7349
8/28/14,PA0873,7178
11/29/14,PA0474,5001
11/1/14,PA0696,4521
9/7/14,PA0202,3708
9/14/14,PA0169,5130
3/12/14,PA0792,4376
12/4/14,PA0352,1709
3/27/14,PA0843,11578
4/2/14,PA0973,5334
5/9/14,PA0202,7948
12/16/14,PA0277,1704
8/8/14,PA0411,4068
7/19/14,PA0958,199
6/24/14,PA0527,8228
10/24/14,PA0394,4932
8/21/14,PA0958,4059
5/20/14,PA0270,6181
5/9/14,PA0352,6254
10/19/14,PA0859,1116
4/12/14,PA0732,6324
4/5/14,PA0958,10339
12/27/14,PA0368,10069
12/23/14,PA0552,10924
11/29/14,PA0318,4050
12/4/14,PA0394,3695
2/23/14,PA0873,1471
2/1/14,PA0168,6235
8/23/14,PA0169,11402
10/10/14,PA0843,373
12/30/14,PA0552,10471
2/10/14,PA0270,632
6/14/14,PA0258,645
4/23/14,PA0859,3867
6/6/14,PA0534,597
3/18/14,PA0672,3045
7/6/14,PA0900,4042
3/13/14,PA0270,5771
6/10/14,PA0394,6886
2/15/14,PA0678,4244
5/28/14,PA0308,4913
6/6/14,PA0952,3738
7/19/14,PA0900,7213
5/15/14,PA0873,2261
3/7/14,PA0952,1974
10/13/14,PA0859,3919
3/11/14,PA0277,991
8/8/14,PA0168,10335
3/24/14,PA0659,8113
5/16/14,PA0270,6374
12/12/14,PA0168,2320
12/13/14,PA0873,6061
11/17/14,PA0174,494
7/23/14,PA0873,11205
9/10/14,PA0732,5483
7/22/14,PA0482,8978
5/11/14,PA0808,4005
1/18/14,PA0168,11423
1/5/14,PA0202,2224
1/3/14,PA0958,1108
11/8/14,PA0293,6592
5/17/14,PA0952,6782
11/12/14,PA0482,3164
1/12/14,PA0873,3517
7/22/14,PA0293,9187
12/12/14,PA0923,6619
10/31/14,PA0174,6943
9/29/14,PA0607,10809
8/30/14,PA0202,1710
7/7/14,PA0900,9820
1/19/14,PA0277,6875
1/2/14,PA0751,8519
12/23/14,PA0808,10986
6/10/14,PA0057,5520
2/26/14,PA0198,1100
9/17/14,PA0470,8091
11/11/14,PA0843,2183
9/30/14,PA0952,6275
12/19/14,PA0526,5303
7/29/14,PA0293,4394
8/19/14,PA0745,5530
6/22/14,PA0354,6816
5/5/14,PA0126,9105
10/25/14,PA0900,10701
5/5/14,PA0258,1334
7/18/14,PA0174,7614
7/2/14,PA0168,2371
12/16/14,PA0973,5314
5/6/14,PA0672,5803
10/22/14,PA0482,1689
1/3/14,PA0057,367
11/6/14,PA0526,8355
5/22/14,PA0168,4497
3/26/14,PA0277,8428
10/27/14,PA0198,8039
11/16/14,PA0873,6509
7/31/14,PA0338,268
4/27/14,PA0808,723
9/27/14,PA0057,4004
2/6/14,PA0411,8687
12/31/14,PA0318,11719
8/12/14,PA0526,4146
3/30/14,PA0467,1562
3/22/14,PA0619,2621
3/21/14,PA0678,760
9/27/14,PA0338,3443
8/21/14,PA0174,11889
5/7/14,PA0830,6317
2/11/14,PA0174,8617
10/30/14,PA0293,9742
9/29/14,PA0338,8505
10/8/14,PA0258,3074
5/25/14,PA0474,4432
11/5/14,PA0482,9114
6/2/14,PA0467,4134
4/3/14,PA0338,2506
9/19/14,PA0527,10057
12/30/14,PA0368,7937
7/11/14,PA0470,8020
5/31/14,PA0318,4159
6/18/14,PA0745,7311
1/30/14,PA0873,5795
1/3/14,PA0843,9543
9/11/14,PA0619,2124
9/1/14,PA0470,5112
2/20/14,PA0830,7265
10/4/14,PA0368,6110
8/16/14,PA0958,3528
2/14/14,PA0277,4784
4/9/14,PA0526,2723
11/1/14,PA0900,5788
1/12/14,PA0577,4604
1/20/14,PA0258,7482
11/8/14,PA0308,2941
1/5/14,PA0952,6298
12/11/14,PA0467,9129
7/1/14,PA0338,5478
1/14/14,PA0745,653
1/6/14,PA0526,8578
7/7/14,PA0198,3489
4/18/14,PA0202,7142
8/25/14,PA0873,6231
1/6/14,PA0859,9155
8/10/14,PA0126,475
9/6/14,PA0270,423
8/4/14,PA0732,7210
6/13/14,PA0174,2657
9/19/14,PA0169,4515
10/23/14,PA0270,3115
2/22/14,PA0174,3769
4/9/14,PA0474,11813
12/26/14,PA0859,5984
10/24/14,PA0354,1125
5/28/14,PA0202,1585
6/9/14,PA0202,9800
6/24/14,PA0973,1154
2/6/14,PA0808,8986
1/3/14,PA0169,11829
12/12/14,PA0394,4154
5/31/14,PA0526,7854
12/7/14,PA0607,5133
2/5/14,PA0394,7672
6/25/14,PA0873,1631
4/23/14,PA0619,4706
12/7/14,PA0973,2080
12/26/14,PA0394,9431
7/11/14,PA0526,1991
12/16/14,PA0527,10943
12/3/14,PA0293,5897
11/7/14,PA0552,547
2/14/14,PA0751,6710
4/2/14,PA0394,2556
8/5/14,PA0543,6121
11/29/14,PA0543,5164
4/15/14,PA0659,3995
3/27/14,PA0552,6522
7/4/14,PA0270,3421
12/19/14,PA0672,11885
3/25/14,PA0619,3245
8/29/14,PA0293,7767
7/15/14,PA0318,11831
3/16/14,PA0394,NA
6/10/14,PA0534,11116
9/29/14,PA0168,4741
2/6/14,PA0368,734
7/2/14,PA0659,2339
4/8/14,PA0277,2071
4/21/14,PA0678,11026
4/20/14,PA0678,11864
9/14/14,PA0732,6310
2/15/14,PA0198,3004
10/21/14,PA0368,6688
10/21/14,PA0752,2864
2/18/14,PA0338,812
11/16/14,PA0732,3225
11/17/14,PA0467,8419
5/24/14,PA0543,7567
5/14/14,PA0277,11111
8/14/14,PA0577,9023
10/2/14,PA0745,6575
1/29/14,PA0474,2518
8/23/14,PA0830,8559
5/1/14,PA0293,9261
3/21/14,PA0534,4352
5/6/14,PA0293,10842
5/7/14,PA0174,4230
2/27/14,PA0577,169
9/21/14,PA0552,10051
12/30/14,PA0751,7305
1/18/14,PA0482,6035
6/12/14,PA0732,4071
9/9/14,PA0126,7951
2/9/14,PA0552,6488
11/26/14,PA0552,3914
3/13/14,PA0923,10151
7/19/14,PA0174,6290
4/12/14,PA0394,3726
9/19/14,PA0745,7569
7/22/14,PA0732,6604
5/4/14,PA0169,9901
9/4/14,PA0745,315
10/15/14,PA0534,5366
12/4/14,PA0277,10140
9/22/14,PA0732,10839
12/1/14,PA0619,7420
4/23/14,PA0534,7899
11/17/14,PA0952,11636
8/20/14,PA0808,11502
3/23/14,PA0293,2590
11/16/14,PA0470,7423
9/21/14,PA0808,808
7/6/14,PA0607,9132
9/12/14,PA0751,3386
4/27/14,PA0696,9229
1/6/14,PA0873,7041
4/8/14,PA0552,7676
8/17/14,PA0277,1992
8/23/14,PA0873,9481
7/5/14,PA0198,10351
11/17/14,PA0830,6274
6/10/14,PA0958,4048
7/10/14,PA0168,6585
2/21/14,PA0338,2535
9/1/14,PA0830,4364
10/8/14,PA0577,8016
10/5/14,PA0467,4770
7/24/14,PA0527,5585
8/24/14,PA0168,5907
3/30/14,PA0808,1782
2/14/14,PA0168,6777
6/23/14,PA0526,9207
7/22/14,PA0672,7876
6/4/14,PA0352,5023
8/16/14,PA0394,3306
6/18/14,PA0534,3470
5/24/14,PA0352,10570
1/30/14,PA0732,10380
6/25/14,PA0752,4604
4/13/14,PA0202,3523
5/5/14,PA0270,8875
11/20/14,PA0543,702
3/14/14,PA0527,1659
4/5/14,PA0607,6117
11/23/14,PA0859,10285
10/16/14,PA0411,6488
5/14/14,PA0394,7748
1/19/14,PA0534,5617
12/4/14,PA0526,4580
8/24/14,PA0411,7190
8/17/14,PA0619,854
6/16/14,PA0411,11049
4/20/14,PA0202,10310
11/22/14,PA0607,10564
3/31/14,PA0411,9584
1/12/14,PA0474,9810
2/17/14,PA0198,4144
12/3/14,PA0394,10576
11/23/14,PA0830,11389
2/5/14,PA0732,11595
9/6/14,PA0900,5030
3/26/14,PA0696,5585
7/24/14,PA0973,642
7/23/14,PA0368,9075
1/8/14,PA0607,11801
9/25/14,PA0607,2904
9/11/14,PA0411,3952
9/1/14,PA0169,4409
2/4/14,PA0952,10328
3/25/14,PA0672,10470
7/23/14,PA0958,11124
9/17/14,PA0318,6491
8/23/14,PA0552,4674
4/2/14,PA0467,2578
11/4/14,PA0859,4322
3/19/14,PA0198,2963
2/13/14,PA0467,2793
5/30/14,PA0830,4532
12/21/14,PA0169,10946
8/8/14,PA0467,1528
1/17/14,PA0830,5191
6/17/14,PA0202,9672
1/19/14,PA0202,10194
11/13/14,PA0958,10692
12/19/14,PA0607,4652
12/15/14,PA0958,5901
11/23/14,PA0354,6695
8/15/14,PA0169,9652
6/30/14,PA0745,11414
12/29/14,PA0169,2142
6/19/14,PA0354,10607
5/25/14,PA0470,11194
1/28/14,PA0859,6921
2/25/14,PA0619,11383
2/5/14,PA0792,NA
12/16/14,PA0482,11574
8/21/14,PA0126,1158
6/13/14,PA0672,474
5/30/14,PA0843,8142
8/9/14,PA0198,10223
5/27/14,PA0552,7352
5/4/14,PA0057,148
8/31/14,PA0543,11142
11/21/14,PA0923,5143
8/13/14,PA0482,4179
6/15/14,PA0830,6101
10/25/14,PA0308,10925
2/24/14,PA0577,7264
5/21/14,PA0526,2782
3/11/14,PA0958,8924
6/7/14,PA0923,178
12/1/14,PA0745,707
5/9/14,PA0923,5321
3/8/14,PA0126,1115
6/20/14,PA0198,7994
4/23/14,PA0745,1606
5/1/14,PA0543,5677
12/12/14,PA0258,2006
12/30/14,PA0293,891
4/18/14,PA0352,5171
3/26/14,PA0352,10845
10/24/14,PA0270,11624
9/17/14,PA0057,122
10/24/14,PA0659,11293
1/3/14,PA0202,5765
7/2/14,PA0973,1051
1/3/14,PA0174,6063
3/8/14,PA0368,4573
10/5/14,PA0672,1778
8/27/14,PA0354,8048
12/9/14,PA0526,3426
3/19/14,PA0752,11378
3/22/14,PA0293,774
8/25/14,PA0482,3876
11/14/14,PA0318,7215
5/7/14,PA0543,1908
5/1/14,PA0198,5535
7/5/14,PA0277,10844
2/1/14,PA0354,6081
7/14/14,PA0467,2184
6/13/14,PA0745,11407
7/4/14,PA0792,2857
10/22/14,PA0474,10129
6/27/14,PA0474,3405
4/20/14,PA0338,747
8/15/14,PA0732,1484
10/12/14,PA0293,9340
6/16/14,PA0859,4705
5/16/14,PA0830,7052
11/5/14,PA0577,5091
4/20/14,PA0843,9009
4/26/14,PA0474,4496
4/16/14,PA0923,11742
4/20/14,PA0619,4040
5/17/14,PA0169,199
2/4/14,PA0169,945
11/14/14,PA0470,1028
6/9/14,PA0467,11823
6/13/14,PA0552,9708
7/20/14,PA0168,3371
2/9/14,PA0843,254
9/11/14,PA0696,5228
3/20/14,PA0958,5201
4/3/14,PA0411,10780
4/4/14,PA0293,10074
9/3/14,PA0352,1613
2/2/14,PA0338,9329
11/19/14,PA0293,100
11/8/14,PA0830,6982
3/31/14,PA0751,11031
7/27/14,PA0577,234
11/26/14,PA0859,8713
6/24/14,PA0258,6564
10/24/14,PA0318,10608
2/10/14,PA0745,2859
4/17/14,PA0543,5655
10/19/14,PA0198,9845
11/11/14,PA0696,5835
5/5/14,PA0672,340
4/2/14,PA0745,2831
3/24/14,PA0277,8527
4/28/14,PA0543,10118
2/21/14,PA0752,1270
5/14/14,PA0696,6726
9/4/14,PA0368,3914
10/22/14,PA0958,6405
6/20/14,PA0952,6054
9/5/14,PA0619,200
6/7/14,PA0394,2115
7/26/14,PA0830,8453
5/21/14,PA0308,7891
10/25/14,PA0732,5607
11/22/14,PA0534,11467
11/6/14,PA0202,9066
5/14/14,PA0843,3740
10/5/14,PA0338,9404
1/4/14,PA0352,4993
10/20/14,PA0258,7962
3/24/14,PA0619,2932
11/27/14,PA0696,3012
10/17/14,PA0958,9336
3/6/14,PA0659,1633
8/1/14,PA0923,2075
5/20/14,PA0534,2198
10/23/14,PA0534,9565
10/25/14,PA0792,7323
6/5/14,PA0277,4806
1/21/14,PA0534,10192
2/5/14,PA0952,4894
1/27/14,PA0859,4018
2/11/14,PA0338,7502
6/26/14,PA0792,4653
7/12/14,PA0270,2705
8/23/14,PA0467,4821
7/19/14,PA0659,2262
3/5/14,PA0808,8341
9/27/14,PA0174,10612
5/2/14,PA0808,1440
6/7/14,PA0958,8885
3/16/14,PA0678,3582
4/4/14,PA0467,2962
8/31/14,PA0696,2423
12/21/14,PA0411,28
3/12/14,PA0619,3947
5/6/14,PA0619,8937
8/10/14,PA0482,3518
6/25/14,PA0958,11756
9/29/14,PA0394,10071
1/14/14,PA0394,4023
11/14/14,PA0751,612
1/3/14,PA0696,9245
7/12/14,PA0745,5522
11/21/14,PA0543,2674
5/8/14,PA0258,8376
3/10/14,PA0552,10247
6/5/14,PA0678,6584
8/31/14,PA0607,5487
9/17/14,PA0958,7721
7/28/14,PA0751,3002
7/25/14,PA0696,6994
10/17/14,PA0973,10560
4/4/14,PA0527,4901
9/20/14,PA0873,9025
12/13/14,PA0958,742
12/25/14,PA0126,7385
5/11/14,PA0482,23
9/24/14,PA0619,10333
10/13/14,PA0474,8794
4/9/14,PA0923,9074
4/11/14,PA0352,1511
6/7/14,PA0973,354
3/23/14,PA0174,1876
12/31/14,PA0843,4878
10/7/14,PA0470,5259
4/14/14,PA0678,9209
2/12/14,PA0057,4034
12/19/14,PA0619,10654
7/10/14,PA0696,9150
7/9/14,PA0368,4691
3/16/14,PA0318,1898
6/17/14,PA0277,9121
1/24/14,PA0394,5187
3/24/14,PA0534,1894
6/30/14,PA0678,1098
7/14/14,PA0843,7855
8/21/14,PA0808,5119
3/30/14,PA0057,9589
9/3/14,PA0270,885
8/8/14,PA0873,2766
9/22/14,PA0659,605
2/24/14,PA0696,113
8/6/14,PA0126,1131
10/23/14,PA0577,2550
7/21/14,PA0270,8409
11/4/14,PA0126,1895
5/19/14,PA0411,981
3/19/14,PA0126,5429
7/14/14,PA0672,134
3/30/14,PA0900,2199
4/13/14,PA0308,8738
9/2/14,PA0411,625
3/14/14,PA0973,10360
4/11/14,PA0830,11803
4/3/14,PA0843,3701
10/18/14,PA0308,5033
5/16/14,PA0672,6008
1/6/14,PA0308,9426
6/22/14,PA0126,11382
4/11/14,PA0577,9853
3/4/14,PA0474,11252
8/31/14,PA0293,2574
11/14/14,PA0394,8086
5/28/14,PA0169,9829
11/25/14,PA0552,2738
9/9/14,PA0534,1260
6/1/14,PA0792,8669
2/20/14,PA0482,7815
6/28/14,PA0368,11789
9/20/14,PA0534,5482
8/20/14,PA0751,826
12/15/14,PA0792,631
11/5/14,PA0293,3588
3/29/14,PA0751,3594
5/24/14,PA0808,6117
4/7/14,PA0619,7770
9/6/14,PA0534,746
1/29/14,PA0169,8992
5/6/14,PA0958,9852
4/10/14,PA0900,670
1/27/14,PA0174,4064
11/2/14,PA0474,3373
1/3/14,PA0411,10757
12/13/14,PA0318,10572
12/14/14,PA0752,10683
11/30/14,PA0202,9050
4/28/14,PA0318,3569
9/4/14,PA0470,8737
2/8/14,PA0732,5297
3/26/14,PA0873,2516
2/19/14,PA0318,10691
6/6/14,PA0411,8179
1/25/14,PA0258,10070
10/7/14,PA0352,135
10/5/14,PA0277,8918
6/16/14,PA0126,4922
3/23/14,PA0543,1241
6/26/14,PA0543,10406
5/20/14,PA0678,1990
12/31/14,PA0270,5237
7/12/14,PA0792,3590
10/6/14,PA0270,5103
5/27/14,PA0958,590
4/18/14,PA0808,9875
3/13/14,PA0258,6335
11/8/14,PA0659,7730
9/20/14,PA0202,10326
8/26/14,PA0338,4676
12/7/14,PA0830,2209
2/19/14,PA0751,8319
5/12/14,PA0352,35
10/15/14,PA0258,549
12/17/14,PA0174,2752
9/14/14,PA0198,952
6/22/14,PA0672,5765
6/25/14,PA0352,1252
5/10/14,PA0394,6844
8/28/14,PA0168,10442
4/2/14,PA0411,98
11/22/14,PA0202,6881
11/22/14,PA0752,7116
4/12/14,PA0293,6842
4/16/14,PA0752,11367
6/27/14,PA0258,2432
12/29/14,PA0474,7580
9/21/14,PA0174,438
8/19/14,PA0352,10831
10/27/14,PA0696,10766
4/6/14,PA0338,3863
11/5/14,PA0318,416
2/11/14,PA0293,7160
3/9/14,PA0534,6731
4/16/14,PA0318,2214
2/15/14,PA0411,4945
4/19/14,PA0732,410
10/17/14,PA0198,4221
12/20/14,PA0577,9174
6/8/14,PA0293,7772
11/26/14,PA0672,8831
4/30/14,PA0900,10505
5/13/14,PA0169,2473
8/22/14,PA0732,4233
9/3/14,PA0900,2601
12/27/14,PA0732,7022
11/13/14,PA0482,10795
7/2/14,PA0900,1554
7/8/14,PA0394,10009
2/19/14,PA0057,4301
7/26/14,PA0732,11521
5/17/14,PA0659,11886
12/19/14,PA0057,6497
4/29/14,PA0619,8917
5/29/14,PA0411,7081
8/28/14,PA0808,6884
9/12/14,PA0354,2435
12/16/14,PA0830,329
12/31/14,PA0659,5132
7/12/14,PA0900,7842
6/22/14,PA0752,8157
5/6/14,PA0900,10002
5/2/14,PA0526,5461
1/25/14,PA0859,286
10/6/14,PA0923,9638
12/16/14,PA0411,11637
6/5/14,PA0168,8098
12/4/14,PA0958,9637
9/22/14,PA0808,8150
6/20/14,PA0168,11023
3/24/14,PA0338,9461
1/19/14,PA0923,5068
1/30/14,PA0474,3934
5/16/14,PA0900,3410
8/23/14,PA0534,4671
4/3/14,PA0552,5381
3/18/14,PA0859,982
4/23/14,PA0973,4049
10/23/14,PA0527,8426
11/21/14,PA0126,5506
4/12/14,PA0057,9024
6/12/14,PA0696,7979
7/2/14,PA0482,NA
9/2/14,PA0174,2890
8/15/14,PA0527,4857
3/15/14,PA0830,5599
3/18/14,PA0752,480
3/21/14,PA0198,6657
7/16/14,PA0859,6935
6/25/14,PA0168,6280
12/26/14,PA0202,11714
2/18/14,PA0293,1676
6/6/14,PA0843,5532
2/6/14,PA0923,8722
4/25/14,PA0973,9840
9/2/14,PA0198,3543
7/23/14,PA0534,10781
11/30/14,PA0745,4331
3/26/14,PA0619,8901
5/27/14,PA0126,NA
5/26/14,PA0338,8908
7/14/14,PA0745,10098
11/13/14,PA0354,10229
1/17/14,PA0751,4042
7/18/14,PA0843,6165
1/2/14,PA0318,2309
5/31/14,PA0467,4755
7/7/14,PA0732,9858
1/2/14,PA0169,3065
3/19/14,PA0900,6820
5/29/14,PA0607,2822
7/6/14,PA0659,4312
9/18/14,PA0659,2496
7/11/14,PA0126,3994
6/4/14,PA0338,1515
10/29/14,PA0411,4364
5/23/14,PA0973,8463
2/18/14,PA0474,2749
5/24/14,PA0168,1343
5/7/14,PA0352,7450
3/12/14,PA0900,6288
10/23/14,PA0843,8762
2/11/14,PA0672,11035
6/25/14,PA0577,3444
5/16/14,PA0470,3155
12/15/14,PA0577,2817
6/17/14,PA0527,6212
7/20/14,PA0659,2515
12/2/14,PA0169,11736
12/16/14,PA0258,2107
7/7/14,PA0751,9207
3/9/14,PA0467,4086
8/10/14,PA0552,4178
10/27/14,PA0258,7329
3/7/14,PA0678,7756
4/16/14,PA0659,3964
6/26/14,PA0552,11632
6/12/14,PA0619,5139
7/19/14,PA0752,2142
2/9/14,PA0923,7564
2/7/14,PA0308,8567
12/11/14,PA0308,4266
6/22/14,PA0696,3353
3/18/14,PA0169,2012
7/23/14,PA0470,5199
11/19/14,PA0543,1020
1/9/14,PA0958,3738
6/5/14,PA0470,6715
12/10/14,PA0308,2090
3/10/14,PA0751,2467
3/25/14,PA0202,3584
12/20/14,PA0308,8824
11/24/14,PA0607,7035
8/14/14,PA0470,5251
10/11/14,PA0411,2817
6/16/14,PA0526,9984
7/24/14,PA0678,297
1/11/14,PA0745,6759
5/16/14,PA0126,11340
3/7/14,PA0752,337
9/14/14,PA0752,6550
1/24/14,PA0678,823
6/23/14,PA0470,9530
5/24/14,PA0751,9753
12/14/14,PA0859,3587
4/30/14,PA0308,9375
9/14/14,PA0843,11089
7/25/14,PA0198,7860
