userid,date,age,gender,metropolitan_area,device_type,active
4e39ed45456db,8/3/15,41,F,Detroit,Tablet,1
4e442c723de3c,8/11/15,28,F,Austin,Tablet,1
4e498bf63b19f,8/15/15,23,F,Houston,Tablet,1
4e56d2bfd66b4,8/25/15,44,F,Tampa,Mobile,1
4e57cbcf3f1ad,8/26/15,38,F,Birmingham,Tablet,1
4e5d4a484604d,8/30/15,27,F,Houston,Tablet,1
4e62f857e0c7d,9/3/15,25,F,Detroit,Tablet,1
4e66cb8202c31,9/6/15,50,F,Austin,Mobile,1
4e832e855b27f,9/28/15,30,F,Houston,Mobile,1
4e8b46d2a7552,10/4/15,36,M,Austin,Mobile,1
4e8b7212254aa,10/4/15,35,F,Tampa,Mobile,1
4e8d0a556be8b,10/5/15,31,F,Houston,Tablet,1
4e973b9d03799,10/13/15,41,M,Tampa,Mobile,1
4e9a72fc1c6e2,10/15/15,36,M,Tampa,Mobile,1
4ea0949696aa4,10/20/15,27,F,Houston,Tablet,1
4ea6e9afac93a,10/25/15,35,F,Austin,Mobile,1
4ea99ee944a80,10/27/15,37,F,Tampa,Mobile,1
4eb055252666e,11/1/15,23,F,Detroit,Mobile,1
4eb05a4706190,11/1/15,30,F,Birmingham,Mobile,1
4eb196695dda0,11/2/15,41,F,Birmingham,Mobile,1
4eb8549386f8b,11/7/15,23,F,Birmingham,Tablet,1
4ebab1fb90eac,11/9/15,51,F,Austin,Tablet,1
4ebeb861d7415,11/12/15,27,F,Birmingham,Mobile,1
4ec2f825c652d,11/15/15,23,F,Detroit,Mobile,1
4ec428a2b4c25,11/17/15,43,F,Houston,Tablet,1
4ec4b2a79e654,11/16/15,22,F,Houston,Mobile,1
4ec7b97f800a5,11/19/15,32,F,Birmingham,Tablet,1
4ec7b9bda98dd,11/19/15,34,F,Birmingham,Mobile,1
4ecd0b2b9c9f1,11/23/15,31,F,Houston,Tablet,1
4ecd31f937de6,11/23/15,50,F,Charlotte,Mobile,1
4ece4c5da7497,11/24/15,49,F,Tampa,Mobile,1
4ecfe54de8e26,11/25/15,50,F,Tampa,Mobile,1
4ed1a5536b1e1,11/26/15,27,F,Houston,Tablet,1
4ed6c2b88d6bb,12/5/15,41,F,Houston,Mobile,1
4ed8d4c1723a6,12/2/15,24,F,Birmingham,Mobile,1
4edaf94751c4b,12/3/15,40,F,Tampa,Tablet,1
4edecd601cf8a,12/6/15,32,F,Austin,Tablet,1
4edfb8b3a1645,12/7/15,32,F,Austin,Mobile,1
4ee1774bdd93c,12/8/15,24,F,Austin,Mobile,1
4ee4e8cfdd41e,12/11/15,36,F,Birmingham,Mobile,1
4ee510b2ed353,12/11/15,35,F,Detroit,Tablet,1
4ee8cc09230d6,12/14/15,47,F,Tampa,Mobile,1
4ee9219bcc54b,12/14/15,23,F,Birmingham,Tablet,1
4ee974fd14499,12/14/15,34,F,Nashville,Desktop,1
4ee9e7ce7eea3,12/15/15,21,F,Houston,Mobile,1
